KEY,CODE_ID,PRICETYPE_ID,TIMESTAMP_ID,名称,类型,类别,QUOTE_ID,PRICEREPORTITEMID,FORWARD_PERIOD,FORWARD_YEAR,UNIT_ID1,UNIT_ID2
3089|1|6,3089,1,6,代码 3089（PT1/TS6）,日,其他,30890601,0,2027,2027,3,44
3088|2|6,3088,2,6,代码 3088（PT2/TS6）,日,其他,30880601,0,4,2026,3,44
3089|2|6,3089,2,6,代码 3089（PT2/TS6）,日,其他,30890601,0,2027,2027,3,44
27071|3|6,27071,3,6,代码 27071（PT3/TS6）,日,其他,270710601,0,9,2026,3,44
32408|8|6,32408,8,6,代码 32408（PT8/TS6）,日,其他,324080600,0,0,2026,3,44
32409|8|6,32409,8,6,代码 32409（PT8/TS6）,日,其他,324090600,0,0,2026,3,44
32410|8|6,32410,8,6,代码 32410（PT8/TS6）,日,其他,324100600,0,0,2026,3,44
32411|8|6,32411,8,6,代码 32411（PT8/TS6）,日,其他,324110600,0,0,2026,3,44
32412|8|6,32412,8,6,代码 32412（PT8/TS6）,日,其他,324120600,0,0,2026,3,44
32413|8|6,32413,8,6,代码 32413（PT8/TS6）,日,其他,324130600,0,0,2026,3,44
32414|8|6,32414,8,6,代码 32414（PT8/TS6）,日,其他,324140600,0,0,2026,3,44
32415|8|6,32415,8,6,代码 32415（PT8/TS6）,日,其他,324150600,0,0,2026,3,44
27554|8|6,27554,8,6,代码 27554（PT8/TS6）,日,其他,275540600,0,0,2026,3,44
32416|8|6,32416,8,6,代码 32416（PT8/TS6）,日,其他,324160600,0,0,2026,3,44
32418|8|6,32418,8,6,代码 32418（PT8/TS6）,日,其他,324180600,0,0,2026,3,44
32419|8|6,32419,8,6,代码 32419（PT8/TS6）,日,其他,324190600,0,0,2026,3,44
29040|8|6,29040,8,6,代码 29040（PT8/TS6）,日,其他,290400600,0,0,2026,3,44
29041|8|6,29041,8,6,代码 29041（PT8/TS6）,日,其他,290410600,0,0,2026,3,44
45531|8|8,45531,8,8,代码 45531（PT8/TS8）,日,其他,455310800,0,0,2026,3,44
45534|8|8,45534,8,8,代码 45534（PT8/TS8）,日,其他,455340800,0,0,2026,3,44
32417|8|6,32417,8,6,代码 32417（PT8/TS6）,日,其他,324170600,0,0,2026,3,44
27553|8|6,27553,8,6,代码 27553（PT8/TS6）,日,其他,275530600,0,0,2026,3,44
27552|8|6,27552,8,6,代码 27552（PT8/TS6）,日,其他,275520600,0,0,2026,3,44
27551|8|6,27551,8,6,代码 27551（PT8/TS6）,日,其他,275510600,0,0,2026,3,44
27072|8|6,27072,8,6,代码 27072（PT8/TS6）,日,其他,270720600,0,0,2026,3,44
12678|8|6,12678,8,6,"理查兹湾 5,500 kcal fob（周均价）",日,煤炭,126780600,0,0,2026,3,44
27074|3|6,27074,3,6,代码 27074（PT3/TS6）,日,其他,270740601,0,9,2026,3,44
27075|8|6,27075,8,6,代码 27075（PT8/TS6）,日,其他,270750600,0,0,2026,3,44
24496|8|6,24496,8,6,"理查兹湾 5,700 NAR fob（2个月）",日,煤炭,244960600,0,0,2026,3,44
27077|3|6,27077,3,6,代码 27077（PT3/TS6）,日,其他,270770601,0,9,2026,3,44
27078|8|6,27078,8,6,代码 27078（PT8/TS6）,日,其他,270780600,0,0,2026,3,44
27214|8|0,27214,8,0,"理查兹湾 6,000 kcal fob（周均价）",周,煤炭,272140000,0,32,2026,3,44
27216|8|0,27216,8,0,"ARA 6,000 kcal cif（周均价）",周,煤炭,272160000,0,32,2026,3,44
27279|8|6,27279,8,6,代码 27279（PT8/TS6）,日,其他,272790600,0,0,2026,3,44
27545|8|6,27545,8,6,代码 27545（PT8/TS6）,日,其他,275450600,0,0,2026,3,44
27546|8|6,27546,8,6,代码 27546（PT8/TS6）,日,其他,275460600,0,0,2026,3,44
27547|8|6,27547,8,6,代码 27547（PT8/TS6）,日,其他,275470600,0,0,2026,3,44
27548|8|6,27548,8,6,代码 27548（PT8/TS6）,日,其他,275480600,0,0,2026,3,44
